Keyword,Keyword_ID,Category,Position,Previous position,Search Volume,Keyword Difficulty,CPC,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
post graduate program in digital marketing simpli learn purdue cost,7,Marketing & SEO,1,1,1900,30,0,1520,0.1,0,0,68,[100],21-01-2025,"Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches, Ads middle","commercial, informational",Organic
vba,20,Others,1,1,22200,83,1.42,1465,0.1,2080,0.01,158000000,"[67,81,100,67,67,67,54,54,67,81,67,54]",26-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, Image, People also ask, Related searches, People also search",informational,People also ask
itil,20,Others,1,1,22200,72,14.16,1465,0.1,20744,0.24,45000000,"[54,67,67,67,67,67,67,67,67,67,67,54]",27-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, Featured snippet, Image, People also ask, Related searches, Things to know","informational, navigational",People also ask
clickup,20,Others,1,0,110000,68,4.4,1430,0.09,6292,0.3,13900000,"[36,45,45,54,54,100,45,54,54,54,54,54]",26-01-2025,"Sitelinks, Reviews, Video, Ads top, People also ask, Related searches, People also search",navigational,People also ask
bert,20,Others,1,3,33100,90,0.91,1357,0.09,1234,0,280000000,"[66,81,81,81,81,81,66,100,81,81,81,81]",26-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, Featured snippet, Image, People also ask, Related searches, Things to know, People also search",informational,People also ask
nominal vs ordinal data,20,Others,1,1,5400,50,0,1339,0.09,0,0,9320000,"[19,54,81,29,29,29,19,16,29,36,44,24]",26-01-2025,"Sitelinks, Video, Featured snippet, People also ask, Related searches",informational,Organic
data analyst job description,20,Others,1,1,5400,45,1.1,1339,0.09,1472,0.11,347000000,"[66,66,81,81,66,66,54,54,54,54,66,54]",26-01-2025,"Sitelinks, Video, Video Carousel, People also ask, Related searches, People also search",commercial,Organic
6 sigma,20,Others,1,1,5400,57,1.58,1339,0.09,2115,0.21,421000000,"[66,81,100,81,100,81,66,66,66,81,81,81]",26-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, Featured snippet, Image, People also ask, Related searches, Things to know",informational,Organic
how to calculate standard deviation in excel,20,Others,1,1,5400,55,0.02,1339,0.09,26,0,39900000,"[29,29,66,44,44,24,24,19,19,66,54,44]",26-01-2025,"Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches, Discussions and forums",informational,Organic
how to find standard deviation in excel,20,Others,1,1,5400,55,0,1339,0.09,0,0,44000000,"[16,36,44,36,36,16,12,8,12,81,54,36]",26-01-2025,"Reviews, Video, Featured snippet, People also ask, Related searches, Discussions and forums",informational,Organic
coding,1,Programming & Development,2,1,60500,100,2.64,1331,0.09,3513,0.23,943000000,"[55,67,55,55,55,55,36,30,45,55,55,36]",26-01-2025,"Image pack, Sitelinks, Reviews, Video, People also ask, Related searches, People also search",navigational,People also ask
computer security,4,Cybersecurity,2,1,135000,97,5.54,1282,0.08,7102,0.22,2330000000,"[30,54,81,24,44,24,20,24,100,81,54,13]",26-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, Featured snippet, Image, People also ask, Related searches, Things to know, People also search, Ads middle","commercial, informational",Things to know
simplilearn login,20,Others,1,1,1600,57,1.31,1280,0.08,1676,0.13,64,"[54,79,66,79,54,66,54,54,66,66,54,54]",23-01-2025,"Sitelinks, Reviews, Tweet, Video, Ads top","navigational, transactional",Organic
tableau,20,Others,1,1,135000,76,3.83,1215,0.08,4653,0.12,783000000,"[54,82,82,67,82,67,67,67,67,100,82,67]",27-01-2025,"Knowledge panel, Image pack, Sitelinks, Reviews, Video, Image, People also ask, Related searches, People also search",navigational,People also ask
python ide,1,Programming & Development,3,4,14800,88,2.44,1213,0.08,2959,0.06,89400000,"[54,81,66,66,66,54,44,54,54,100,81,66]",26-01-2025,"Sitelinks, Video, People also ask, Related searches, Things to know, People also search",informational,Organic
entity component system,20,Others,3,3,14800,50,0.46,1213,0.08,557,0.31,161000000,"[29,66,81,13,44,36,81,100,29,81,66,36]",26-01-2025,"Knowledge panel, Sitelinks, Image, People also ask, Related searches, Things to know",informational,Organic
project management professional certification,5,Business & Management,1,1,18100,82,3.82,1194,0.08,4561,0.65,694000000,"[24,67,67,54,29,100,10,54,54,100,16,44]",26-01-2025,"Sitelinks, Reviews, Video, People also ask, Related searches",informational,People also ask
ms access,20,Others,1,1,18100,73,3.46,1194,0.08,4131,0.06,2560000000,"[54,100,81,81,100,16,13,13,13,16,20,13]",26-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, Image, People also ask, Related searches, Things to know, People also search",informational,People also ask
digital marketing course,7,Marketing & SEO,1,0,18100,84,8.2,1194,0.08,9790,0.38,873000000,"[44,81,54,54,66,54,81,100,81,81,66,66]",26-01-2025,"Local pack, Sitelinks, Reviews, Video, Ads top, Ads bottom, People also ask, Related searches, Things to know, People also search",commercial,People also ask
descriptive statistics,20,Others,1,1,18100,64,0.59,1194,0.08,704,0.01,321000000,"[29,44,44,29,36,29,20,16,36,66,36,24]",26-01-2025,"Sitelinks, Video, Featured snippet, Image, People also ask, Related searches",informational,People also ask
bard ai,2,Data & AI,1,1,165000,55,5.16,1155,0.08,5959,0.1,117000000,"[66,66,54,24,24,30,16,16,11,20,16,16]",26-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, Image, Ads top, People also ask, Related searches, Things to know, People also search","informational, navigational",People also ask
interpersonal communication,8,CRM & ERP,1,1,27100,52,0.76,1111,0.07,844,0.01,119000000,"[54,100,81,66,66,54,54,44,66,81,66,54]",26-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, Featured snippet, Image, People also ask, Related searches, Things to know, People also search, AI overview",informational,People also ask
productivity,20,Others,1,1,27100,93,9.8,1111,0.07,10887,0.02,687000000,"[36,54,36,44,54,36,36,36,44,44,81,36]",26-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, Featured snippet, Image, Video Carousel, People also ask, Related searches, Things to know",informational,People also ask
perceptron,20,Others,1,1,4400,68,0.18,1091,0.07,196,0,22900000,"[53,81,100,81,100,81,66,53,66,81,100,81]",25-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, Featured snippet, Image, People also ask, Related searches, Things to know",informational,Organic
python comment,1,Programming & Development,1,1,4400,56,0.06,1091,0.07,65,0.08,316000000,"[36,81,44,54,54,36,29,16,44,36,44,19]",25-01-2025,"Sitelinks, Video, Featured snippet, People also ask, Related searches",informational,Organic
current technology and developing technology,20,Others,1,1,4400,76,0,1091,0.07,0,0,2930000000,[100],24-01-2025,"Image pack, Sitelinks, Video, People also ask, Related searches, People also search",informational,Organic
excel how to pivot multiple tabs in a workbook,20,Others,1,1,4400,32,0,1091,0.07,0,0,23800000,[100],24-01-2025,"Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches",informational,Organic
emerging technologies,20,Others,1,1,4400,73,2.1,1091,0.07,2291,0.07,285000000,"[66,81,81,81,81,66,53,44,66,100,81,100]",26-01-2025,"Knowledge panel, Top stories, Sitelinks, Video, Image, People also ask, Related searches, People also search","commercial, informational",Organic
content writing,20,Others,1,1,4400,61,3.22,1091,0.07,3513,0.17,3070000000,"[66,81,66,81,66,66,66,66,66,54,66,66]",26-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, Featured snippet, Image, Ads bottom, People also ask, Related searches, Things to know",informational,Organic
s curve,20,Others,1,1,4400,57,0,1091,0.07,0,0,919000000,"[13,13,16,19,19,13,10,13,13,13,16,10]",25-01-2025,"Sitelinks, Reviews, Video, Featured snippet, Image, People also ask, Related searches, See results about",informational,Organic
data science,2,Data & AI,1,0,49500,91,4.73,1089,0.07,5150,0.29,2500000000,"[54,66,66,54,66,54,54,44,81,66,66,54]",26-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, Featured snippet, Image, Video Carousel, People also ask, Related searches, Things to know, People also search",informational,People also ask
technology,20,Others,4,5,90500,100,1.61,1086,0.07,1748,0.02,10460000000,"[24,44,36,36,44,36,24,20,36,44,30,36]",27-01-2025,"Knowledge panel, Sitelinks, Video, Featured snippet, People also ask, Related searches, Things to know, People also search",informational,Things to know
new technology,20,Others,1,1,8100,93,0.69,1069,0.07,737,0.32,9220000000,"[44,54,66,54,54,44,24,36,36,66,66,66]",27-01-2025,"Top stories, Image pack, Sitelinks, Video, People also ask, Related searches, People also search, AI overview",informational,Organic
business analyst jobs,5,Business & Management,1,0,14800,21,2.02,976,0.06,1971,0.09,473000000,"[44,81,54,66,54,66,66,81,66,100,66,100]",26-01-2025,"Sitelinks, Video, People also ask, Related searches",commercial,People also ask
void 0,20,Others,1,1,14800,45,0,976,0.06,0,0,502000000,"[54,81,24,13,66,66,66,44,81,81,36,66]",26-01-2025,"Image pack, Sitelinks, Video, Image, People also ask",informational,People also ask
tableau,20,Others,1,1,135000,76,3.83,945,0.06,3619,0.12,783000000,"[54,82,82,67,82,67,67,67,67,100,82,67]",27-01-2025,"Knowledge panel, Image pack, Sitelinks, Reviews, Video, Image, People also ask, Related searches, People also search",navigational,People also ask
top bottom top approach,20,Others,1,0,5400,49,0,937,0.06,0,0,683000000,[100],26-01-2025,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview","commercial, informational",AI overview
bitcoin mining,20,Others,1,1,22200,100,0,910,0.06,0,0,61100000,"[16,11,16,16,13,7,6,6,4,3,3,4]",26-01-2025,"Top stories, Image pack, Sitelinks, Reviews, Video, People also ask, Related searches, Things to know, People also search","commercial, informational",People also ask
nlp,20,Others,1,1,22200,94,1.3,910,0.06,1183,0.09,176000000,"[54,66,66,66,54,54,44,66,54,66,54,54]",26-01-2025,"Knowledge panel, Sitelinks, Video, Featured snippet, Image, Ads bottom, People also ask, Related searches, Things to know, People also search",informational,People also ask
cascading style sheets,20,Others,1,1,22200,89,1.81,910,0.06,1647,0,8430000,"[8,44,100,54,8,54,44,44,44,24,44,29]",26-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, Featured snippet, Image, People also ask, Related searches, Things to know, People also search",informational,People also ask
data scientist vs data analyst,20,Others,1,1,3600,47,2.12,892,0.06,1891,0.15,0,"[36,54,66,36,81,66,66,36,66,54,81,54]",20-01-2025,"Sitelinks, Featured snippet, People also ask, Related searches, Discussions and forums, People also search","commercial, informational",Organic
how to do standard deviation in excel,20,Others,1,1,3600,55,0,892,0.06,0,0,0,"[19,44,66,23,35,29,16,10,19,100,81,44]",21-01-2025,"Featured snippet, People also ask, Related searches, Discussions and forums",informational,Organic
interpersonal communication definition,8,CRM & ERP,1,1,3600,44,0,892,0.06,0,0,104000000,"[36,81,54,43,43,43,36,28,66,81,54,43]",21-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, Image, People also ask, Related searches, People also search",informational,Organic
machine learning algorithms,2,Data & AI,1,2,3600,65,3.25,892,0.06,2899,0.1,244000000,"[66,66,81,66,66,66,66,53,53,66,81,100]",26-01-2025,"Image pack, Sitelinks, Video, People also ask, Related searches, Things to know, People also search",informational,Organic
business analytics software,1,Programming & Development,1,1,3600,69,11.84,892,0.06,10561,0.3,570000000,"[66,66,100,100,100,81,66,44,35,53,53,66]",26-01-2025,"Image pack, Reviews, Video Carousel, People also ask, Related searches, See results about, Discussions and forums","commercial, informational",Organic
how to find number of same elements in a list,20,Others,1,1,3600,48,0,892,0.06,0,0,1710000000,[100],25-01-2025,"Image pack, Sitelinks, Reviews, Video, Featured snippet, Video Carousel, People also ask, Related searches",informational,Organic
statistical descriptive,20,Others,1,1,3600,64,0.59,892,0.06,526,0.01,208000000,"[54,100,13,8,10,8,0,4,0,0,0,0]",25-01-2025,"Sitelinks, Video, Featured snippet, People also ask, Related searches, Things to know",informational,Organic
content writer,20,Others,1,1,3600,60,3.22,892,0.06,2872,0.17,1720000000,"[81,81,65,81,81,81,81,65,81,65,65,81]",23-01-2025,"Knowledge panel, Image pack, Sitelinks, Reviews, Featured snippet, Image, People also ask, Related searches, Things to know","commercial, informational",Organic
angular interview questions,1,Programming & Development,1,1,3600,40,0.2,892,0.06,178,0.06,26400000,"[36,66,54,54,66,43,43,43,66,43,43,36]",25-01-2025,"Sitelinks, Reviews, Video, Related searches, See results about",informational,Organic
application,20,Others,1,1,74000,93,2.07,888,0.06,1838,0.01,12450000000,"[54,54,100,30,54,44,44,54,54,54,54,54]",26-01-2025,"Instant answer, Knowledge panel, Sitelinks, Video, People also ask, Related searches, Things to know",informational,Things to know
raspberry,20,Others,3,3,74000,69,0.42,888,0.06,372,0.66,477000000,"[67,55,67,67,100,67,82,67,67,67,67,67]",26-01-2025,"Knowledge panel, Image pack, Sitelinks, Reviews, Video, Image, People also ask, Popular products, Related searches, Things to know, People also search",informational,Things to know
project manager,20,Others,1,1,27100,83,4.68,880,0.06,4118,0.25,1420000000,"[44,66,66,54,66,54,66,54,81,66,66,66]",26-01-2025,"Knowledge panel, Reviews, Video, Featured snippet, Image, People also ask, Related searches, Things to know",informational,People also ask
business analyst,5,Business & Management,1,1,27100,54,3.89,880,0.06,3423,0.21,533000000,"[66,81,81,66,66,66,66,66,66,81,66,54]",26-01-2025,"Knowledge panel, Video, Featured snippet, Image, People also ask, Related searches, Things to know",informational,People also ask
data analyst,20,Others,5,6,74000,60,4.3,814,0.05,3500,0.41,512000000,"[54,100,81,81,81,81,66,81,81,81,81,66]",26-01-2025,"Image pack, Sitelinks, Video, People also ask, Related searches, Things to know, People also search, Ads middle, AI overview",informational,Things to know
interpersonal communication,8,CRM & ERP,2,2,27100,52,0.76,813,0.05,617,0.01,119000000,"[54,100,81,66,66,54,54,44,66,81,66,54]",26-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, Featured snippet, Image, People also ask, Related searches, Things to know, People also search, AI overview",informational,Organic
simplelearn,20,Others,1,1,1000,56,2.31,800,0.05,1848,0.14,4340000,"[41,41,66,4,79,36,30,41,30,41,100,20]",13-01-2025,"Sitelinks, Reviews, Video, Ads top, People also ask, Related searches, See results about",navigational,Organic
simpli learn,20,Others,1,1,1000,51,2.31,800,0.05,1848,0.14,4480000,"[37,100,11,84,84,37,37,52,46,68,84,46]",20-01-2025,"Sitelinks, Reviews, Tweet, Video, People also ask, Related searches, See results about",navigational,Organic
simply learn,20,Others,1,1,1000,62,2.31,800,0.05,1848,0.14,4380000,"[7,13,8,41,41,41,36,54,30,79,66,36]",20-01-2025,"Sitelinks, Reviews, Tweet, Video, People also ask, Related searches, See results about",navigational,Organic
software development,1,Programming & Development,1,1,12100,52,11.1,798,0.05,8857,0.17,1580000000,"[44,54,54,44,36,44,29,29,44,66,66,66]",26-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, Featured snippet, Image, People also ask, Related searches, Things to know, People also search",informational,People also ask
programming languages,1,Programming & Development,2,2,22200,85,1.56,777,0.05,1212,0.05,1560000000,"[10,13,100,10,10,13,8,8,8,8,8,8]",27-01-2025,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches, Things to know, People also search","commercial, informational",Organic
project management professional certification,5,Business & Management,1,0,18100,82,3.82,742,0.05,2834,0.65,694000000,"[24,67,67,54,29,100,10,54,54,100,16,44]",26-01-2025,"Sitelinks, Reviews, Video, People also ask, Related searches",informational,People also ask
java script,1,Programming & Development,1,1,18100,100,1.66,742,0.05,1231,0.06,5990000000,"[36,67,100,54,54,36,44,54,67,54,54,29]",26-01-2025,"Image pack, Sitelinks, Video, People also ask, Related searches, People also search",informational,People also ask
bfs,20,Others,2,6,18100,65,2.7,742,0.05,2003,0,155000000,"[81,100,100,100,100,100,100,66,81,81,100,66]",27-01-2025,"Image pack, Sitelinks, Video, People also ask, Related searches, See results about",informational,People also ask
correlation definition,20,Others,1,1,18100,62,0,742,0.05,0,0,955000000,"[44,54,54,36,44,44,44,29,54,81,67,67]",26-01-2025,"Instant answer, Image pack, Sitelinks, Video, People also ask, Related searches, People also search",informational,People also ask
trello,20,Others,2,3,246000,97,5.95,738,0.05,4391,0.31,58300000,"[54,100,66,81,66,81,54,66,66,66,66,66]",26-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, Image, Ads top, Ads bottom, People also ask, Related searches, Things to know, People also search",navigational,Things to know
data scientist,20,Others,1,0,33100,81,4.73,728,0.05,3443,0.29,687000000,"[24,30,30,24,30,24,24,36,30,30,24,24]",26-01-2025,"Image pack, Video, People also ask, Related searches, Things to know, People also search",informational,People also ask
enumerate,20,Others,1,0,22200,77,5.64,721,0.05,4066,0.01,491000000,"[44,36,44,36,54,44,44,54,66,66,66,66]",26-01-2025,"Instant answer, Knowledge panel, Sitelinks, Video, People also ask, Related searches, Things to know",informational,People also ask
algorithms,20,Others,1,1,22200,100,0.16,721,0.05,115,0.01,898000000,"[36,66,29,54,54,66,36,36,44,44,81,36]",26-01-2025,"Instant answer, Knowledge panel, Sitelinks, Reviews, Video, Image, People also ask, Related searches, Things to know, People also search",informational,People also ask
chi square test,20,Others,1,0,22200,57,0,721,0.05,0,0,174000000,"[44,36,54,54,66,44,29,29,29,44,44,44]",26-01-2025,"Image pack, Sitelinks, Video, People also ask, Things to know",informational,People also ask
describing statistics,20,Others,1,1,2900,64,0.59,719,0.05,424,0.01,1830000000,"[0,100,0,0,10,8,8,4,19,3,8,0]",25-01-2025,"Video, Featured snippet, People also ask, Related searches",informational,Organic
new technology 2024,20,Others,1,1,2900,61,0.68,719,0.05,488,0.66,6040000000,"[10,100,65,81,81,65,43,43,54,65,65,65]",23-01-2025,"Sitelinks, Reviews, Video, People also ask, Related searches, People also search",commercial,Organic
what is descriptive statistics,20,Others,1,1,2900,64,0.31,719,0.05,222,0,311000000,"[36,66,54,36,36,36,24,19,54,100,54,36]",21-01-2025,"Video, Featured snippet, People also ask, Related searches",informational,Organic
how to find standard deviation excel,20,Others,1,1,2900,55,0,719,0.05,0,0,53400000,"[10,44,81,23,35,10,8,16,16,100,54,29]",23-01-2025,"Image pack, Reviews, Video, Featured snippet, People also ask, Related searches, Discussions and forums",informational,Organic
coding language,1,Programming & Development,1,1,2900,100,1.2,719,0.05,862,0.05,0,"[54,10,100,44,29,29,23,44,23,35,44,35]",20-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, Image, People also ask, Related searches, Things to know, People also search","commercial, informational",Organic
population vs sample,20,Others,1,1,2900,47,0,719,0.05,0,0,563000000,"[15,36,29,23,15,23,13,7,29,54,19,19]",24-01-2025,"Sitelinks, Reviews, Video, Featured snippet, People also ask, Datasets",commercial,Organic
finding the position an elementi n a list python,1,Programming & Development,1,1,2900,50,0,719,0.05,0,0,27000000,[100],26-01-2025,"Image pack, Sitelinks, Video, Featured snippet, People also ask, Related searches",informational,Organic
where clause in aggregate query access,20,Others,1,1,2900,34,0,719,0.05,0,0,7660000,[100],26-01-2025,"Image pack, Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches",informational,Organic
web designing,11,Design & UI/UX,1,1,2900,78,8.64,719,0.05,6212,0.26,6780000000,"[10,15,23,8,10,29,29,44,29,36,29,29]",21-01-2025,"Knowledge panel, Local pack, Sitelinks, Reviews, Featured snippet, Image, People also ask, Related searches, Things to know",informational,Organic
data analyst interview questions,20,Others,1,1,2900,47,0.31,719,0.05,222,0.15,117000000,"[44,66,44,53,66,53,53,44,44,44,44,35]",20-01-2025,"Sitelinks, Reviews, People also ask, Related searches, Discussions and forums, People also search",informational,Organic
what is interpersonal communication,8,CRM & ERP,1,1,5400,38,0.1,712,0.04,71,0,119000000,"[54,100,81,66,81,66,54,43,81,100,81,66]",26-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, Image, People also ask, Related searches, People also search, AI overview",informational,Organic
data analyst,20,Others,5,0,74000,60,4.3,703,0.04,3022,0.41,512000000,"[54,100,81,81,81,81,66,81,81,81,81,66]",26-01-2025,"Image pack, Sitelinks, Video, People also ask, Related searches, Things to know, People also search, Ads middle, AI overview",informational,Things to know
typescript,20,Others,1,1,135000,95,1.58,675,0.04,1066,0,149000000,"[67,82,67,82,82,82,82,67,54,67,54,54]",26-01-2025,"Knowledge panel, Sitelinks, Video, People also ask, Related searches, Things to know, People also search","informational, navigational",People also ask
